image_path,label,skin_type,dataset
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/6ba4d97062cca79a3754b550f7f2efba.jpg,1,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/ecdcd89dda8fa5b30706532fb49f315c.jpg,0,2,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/30421ab67894a095c7cf3d059dd4d977.jpg,3,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/e83a91547ae74f206135f5b5fff97b0e.jpg,4,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/5408adeda80fa850b14f67c7757cb48d.jpg,1,2,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/a8ffa90c01aaf037a5a965209eafef6f.jpg,0,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/894778422e81abebadc30e1dec63b529.jpg,4,-1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/a07a48332fa6c0b2c5614d8377c6b86f.jpg,2,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/89a7fc0c590b8437dbf7554ce9676edb.jpg,3,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/6fba1ba992dd21cd3eaaf1ecacaf291d.jpg,0,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/f5b5fc7b1af76ca2db94a3118cffc572.jpg,4,3,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/bcea6a243a9930a11354a81999f1004d.jpg,1,2,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/81d85b24e58909760740b2519e58b5ee.jpg,4,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/eae8d8e779633f16b622bac6a56f59ed.jpg,0,2,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/eec8c53d191fee6417cfcd4f12d415d3.jpg,4,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/874c068761a094896dc6a19678bfb2cb.jpg,2,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/eb8fc90c6716f948a533986727bca286.jpg,2,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/605ae32a4e833e8d8373a33b4336bdcf.jpg,1,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/45297051705ac6a8b8d04264cae21bc3.jpg,4,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/339d21e178104dd6280e1ac6d354a695.jpg,0,3,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/60c20c7458e1a508b96bd1dec2702e3b.jpg,2,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/e7b64e348cdf955f7910cbd044ddaf31.jpg,3,3,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/c43518ab9959d77b63bf6b9eeab7611b.jpg,0,2,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/5b9a861673164365c98ba2e5eca55328.jpg,2,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/3c8898cea81673fe523d75dc4a4c0d2d.jpg,2,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/4e63404b516800a93d6dc91e4f4a23b6.jpg,4,1,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/541a4587e879063cf33f0aeae690ee62.jpg,3,2,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/f247c2f65828b5a87b9c2c7e1fc13a88.jpg,0,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/58f8a6ea4d65b0c235565a6f0dab1643.jpg,2,0,fitzpatrick17k
process_v2/data/datasets/asosenge/fitzpatrick17k/fitzpatrick17k/data/finalfitz17k/7c015dcdbe6e3f3c2911a64342c135c6.jpg,0,3,fitzpatrick17k
