image_path,label,skin_type,dataset
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0026146.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/hibaskinlesionsdataset-main/HIBASkinLesionsDataset-main/images/ISIC_2135576.jpg,1,2,hiba
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0033673.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0030868.jpg,2,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0026983.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/hibaskinlesionsdataset-main/HIBASkinLesionsDataset-main/images/ISIC_0803812.jpg,1,2,hiba
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0025579.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0028493.jpg,0,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0028226.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0025144.jpg,2,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0025259.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/hibaskinlesionsdataset-main/HIBASkinLesionsDataset-main/images/ISIC_0984487.jpg,1,1,hiba
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0028737.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/hibaskinlesionsdataset-main/HIBASkinLesionsDataset-main/images/ISIC_9706840.jpg,4,1,hiba
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0032448.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0030098.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/hibaskinlesionsdataset-main/HIBASkinLesionsDataset-main/images/ISIC_6529148.jpg,3,-1,hiba
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0027619.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0032529.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0024569.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0034027.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0027940.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0031049.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0027703.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0034023.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0033970.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0031369.jpg,0,-1,ham10000
process_v2/data/datasets/asosenge/hibaskinlesionsdataset-main/HIBASkinLesionsDataset-main/images/ISIC_7130469.jpg,1,1,hiba
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0024685.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0033989.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0032913.jpg,0,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0024791.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0033544.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0033493.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_1/ISIC_0028620.jpg,1,-1,ham10000
process_v2/data/datasets/asosenge/ham10000/HAM10000/HAM10000_images_part_2/ISIC_0032062.jpg,1,-1,ham10000
